code,name,tier,commitment,signed
SPN-01,Zofia Petrov Group,bronze,$15850.00,yes
SPN-02,Tamar Iyer Group,bronze,$7600.00,no
SPN-03,Wendell Kovacs Group,gold,$19700.00,yes
SPN-04,Zofia Fontaine Group,silver,$6700.00,no
SPN-05,Ines Sorensen Group,gold,$26550.00,yes
SPN-06,Quentin Nakamura Group,silver,$5250.00,no
SPN-07,Sven Bergstrom Group,silver,$22900.00,yes
SPN-08,Bruno Moreau Group,bronze,$13250.00,no
SPN-09,Wendell Jankowski Group,bronze,$15000.00,yes
SPN-10,Xiomara Zielinski Group,silver,$11200.00,yes
SPN-11,Carmen Vasquez Group,silver,$22300.00,no
SPN-12,Mireille Kovacs Group,bronze,$24250.00,yes
SPN-13,Ines Nakamura Group,gold,$18700.00,no
SPN-14,Farid Rasmussen Group,silver,$19450.00,no
SPN-15,Umut Lindqvist Group,silver,$6600.00,yes
SPN-16,Deepak Dimitrov Group,silver,$6850.00,yes
SPN-17,Umut Yamada Group,bronze,$18100.00,yes
SPN-18,Yusuf Abbasi Group,bronze,$25800.00,no
SPN-19,Xiomara Zielinski Group,bronze,$28800.00,yes
SPN-20,Hiro Tanaka Group,silver,$8600.00,yes
SPN-21,Jonas Vasquez Group,bronze,$23750.00,no
SPN-22,Mireille Lindqvist Group,bronze,$9100.00,yes
SPN-23,Vera Zielinski Group,silver,$13650.00,yes
SPN-24,Umut Abbasi Group,gold,$25700.00,no
SPN-25,Farid Hashimoto Group,bronze,$18200.00,yes
SPN-26,Sven Dimitrov Group,silver,$5900.00,yes
SPN-27,Priya Jankowski Group,bronze,$2500.00,no
SPN-28,Greta Kovacs Group,silver,$15300.00,yes
SPN-29,Quentin Bergstrom Group,gold,$27250.00,yes
SPN-30,Carmen Yamada Group,gold,$25350.00,no
SPN-31,Keiko Bergstrom Group,bronze,$23900.00,no
SPN-32,Ines Grigoryan Group,bronze,$13950.00,yes
SPN-33,Nadia Moreau Group,silver,$4000.00,yes
SPN-34,Omar Okonkwo Group,silver,$23400.00,yes
SPN-35,Elif Zielinski Group,silver,$10550.00,no
SPN-36,Tamar Lindqvist Group,silver,$10550.00,no
SPN-37,Xiomara Tanaka Group,bronze,$29650.00,no
SPN-38,Jonas Nakamura Group,gold,$21700.00,no
SPN-39,Lars Jankowski Group,bronze,$5250.00,no
SPN-40,Mireille Vasquez Group,silver,$5950.00,yes
SPN-41,Bruno Rasmussen Group,silver,$26500.00,yes
SPN-42,Ada Lindqvist Group,gold,$12400.00,yes
SPN-43,Zofia Rasmussen Group,silver,$13750.00,no
SPN-44,Ada Bergstrom Group,bronze,$17050.00,no
SPN-45,Ada Rasmussen Group,gold,$4500.00,no
SPN-46,Omar Lindqvist Group,bronze,$27000.00,yes
SPN-47,Sven Dimitrov Group,bronze,$2100.00,yes
SPN-48,Omar Okonkwo Group,gold,$19050.00,no
SPN-49,Yusuf Hashimoto Group,bronze,$24550.00,yes
SPN-50,Bruno Kovacs Group,bronze,$13700.00,no
SPN-51,Tamar Dimitrov Group,gold,$2500.00,yes
SPN-52,Elif Tanaka Group,bronze,$28000.00,yes
SPN-53,Wendell Iyer Group,bronze,$9200.00,yes
SPN-54,Ada Quispe Group,silver,$27250.00,yes
SPN-55,Tamar Vasquez Group,bronze,$23450.00,no
