account_id,name,tier,status,opened
ACC-1001,Ironclad Systems Co,plus,active,2020-02-01
ACC-1002,Beacon Robotics LLC,standard,active,2019-02-23
ACC-1003,Redwood Logistics Group,plus,active,2023-10-23
ACC-1004,Summit Labs Co,enterprise,active,2022-10-25
ACC-1005,Cascade Outfitters Group,enterprise,active,2022-04-04
ACC-1006,Marble Logistics Ltd,standard,active,2023-04-11
ACC-1007,Lakeside Outfitters Inc,standard,active,2019-04-10
ACC-1008,Bright Systems Group,enterprise,active,2020-10-09
ACC-1009,Aurora Trading Inc,standard,active,2019-08-04
ACC-1010,Summit Media Inc,enterprise,active,2019-04-13
ACC-1011,Silverline Logistics Ltd,standard,active,2020-11-26
ACC-1012,Marble Outfitters Inc,standard,active,2022-03-22
ACC-1013,Copperleaf Studios LLC,plus,active,2023-01-24
ACC-1014,Aurora Logistics LLC,standard,active,2021-01-05
ACC-1015,Ironclad Labs Co,standard,active,2020-05-24
ACC-1016,Summit Outfitters Inc,standard,closed,2020-01-12
ACC-1017,Juniper Studios Ltd,standard,active,2022-04-12
ACC-1018,Cascade Media Group,standard,active,2020-12-15
ACC-1019,Bluebird Analytics Group,standard,active,2019-03-09
ACC-1020,Lakeside Works Group,standard,active,2020-01-05
ACC-1021,Falcon Media Inc,standard,active,2019-07-26
ACC-1022,Granite Systems Inc,standard,active,2019-12-18
ACC-1023,Orchard Media Ltd,enterprise,active,2019-11-25
ACC-1024,Pinnacle Labs Ltd,enterprise,active,2023-06-06
ACC-1025,Aurora Supply LLC,plus,active,2023-05-19
ACC-1026,Juniper Freight Co,standard,active,2021-11-06
ACC-1027,Orchard Trading Co,standard,active,2021-12-03
ACC-1028,Northwind Logistics LLC,standard,active,2019-05-16
ACC-1029,Crescent Freight Co,standard,closed,2022-06-13
ACC-1030,Redwood Media Inc,enterprise,active,2021-02-01
ACC-1031,Beacon Analytics Ltd,standard,active,2023-06-15
ACC-1032,Falcon Outfitters Ltd,plus,active,2019-12-25
ACC-1033,Bluebird Freight Ltd,standard,active,2022-11-13
ACC-1034,Beacon Media Ltd,standard,active,2019-03-28
ACC-1035,Beacon Freight Co,enterprise,active,2022-12-14
ACC-1036,Beacon Systems Ltd,standard,active,2020-04-19
ACC-1037,Granite Supply Co,standard,active,2021-11-22
ACC-1038,Beacon Outfitters Inc,plus,closed,2021-03-19
ACC-1039,Bright Goods Inc,standard,active,2021-10-13
ACC-1040,Cascade Logistics Co,plus,active,2021-05-02
